sample,trait,replicate,manual,virtual,error,abs_error,ape_percent
红掌,叶长,1,14.82,13.02,-1.8000000000000007,1.8000000000000007,12.145748987854256
红掌,叶宽,1,10.52,11.79,1.2699999999999996,1.2699999999999996,12.072243346007602
红掌,叶长,2,6.6,7.54,0.9400000000000004,0.9400000000000004,14.242424242424248
红掌,叶宽,2,7.36,7.84,0.47999999999999954,0.47999999999999954,6.521739130434775
红掌,叶长,3,12.07,12.31,0.2400000000000002,0.2400000000000002,1.988400994200499
红掌,叶宽,3,7.47,8.01,0.54,0.54,7.2289156626506035
万年青,株高,1,16.2,17.34,1.1400000000000006,1.1400000000000006,7.03703703703704
万年青,冠幅,1,27.3,28.63,1.3299999999999983,1.3299999999999983,4.871794871794865
万年青,叶长,1,9.95,10.15,0.20000000000000107,0.20000000000000107,2.0100502512562923
万年青,叶宽,1,6.07,6.61,0.54,0.54,8.896210873146623
万年青,叶长,2,8.3,7.69,-0.6100000000000003,0.6100000000000003,7.349397590361449
万年青,叶宽,2,4.46,5.12,0.6600000000000001,0.6600000000000001,14.79820627802691
万年青,叶长,3,8.14,8.43,0.28999999999999915,0.28999999999999915,3.562653562653552
万年青,叶宽,3,4.17,5.21,1.04,1.04,24.940047961630697
万年青,株高,1,17.4,17.89,0.490000000000002,0.490000000000002,2.8160919540230003
万年青,冠幅,1,28.3,29.4,1.0999999999999979,1.0999999999999979,3.8869257950529956
万年青,叶长,1,9.67,10.23,0.5600000000000005,0.5600000000000005,5.791106514994834
万年青,叶宽,1,5.3,6.71,1.4100000000000001,1.4100000000000001,26.603773584905667
万年青,叶长,2,8.5,9.34,0.8399999999999999,0.8399999999999999,9.88235294117647
万年青,叶宽,2,4.09,4.87,0.7800000000000002,0.7800000000000002,19.07090464547678
万年青,叶长,3,9.68,10.51,0.8300000000000001,0.8300000000000001,8.574380165289258
万年青,叶宽,3,3.93,4.26,0.3299999999999996,0.3299999999999996,8.396946564885486
孔雀竹芋,株高,1,15.7,18.67,2.9700000000000024,2.9700000000000024,18.917197452229313
孔雀竹芋,冠幅,1,29.9,30.07,0.1700000000000017,0.1700000000000017,0.5685618729097047
孔雀竹芋,叶长,1,10.19,10.9,0.7100000000000009,0.7100000000000009,6.967615309126604
孔雀竹芋,叶宽,1,7.13,7.02,-0.11000000000000032,0.11000000000000032,1.54277699859748
孔雀竹芋,叶长,2,10.03,10.52,0.4900000000000002,0.4900000000000002,4.885343968095715
孔雀竹芋,叶宽,2,7.17,7.42,0.25,0.25,3.486750348675035
孔雀竹芋,叶长,3,10.77,11.4,0.6300000000000008,0.6300000000000008,5.8495821727019575
孔雀竹芋,叶宽,3,6.34,6.47,0.1299999999999999,0.1299999999999999,2.050473186119872
孔雀竹芋,株高,1,18.6,19.63,1.0299999999999976,1.0299999999999976,5.537634408602137
孔雀竹芋,冠幅,1,21.2,20.51,-0.6899999999999977,0.6899999999999977,3.254716981132065
孔雀竹芋,叶长,1,9.21,10.18,0.9699999999999989,0.9699999999999989,10.532030401737229
孔雀竹芋,叶宽,1,6.12,7.56,1.4399999999999995,1.4399999999999995,23.529411764705873
孔雀竹芋,叶长,2,9.28,9.54,0.2599999999999998,0.2599999999999998,2.8017241379310325
孔雀竹芋,叶宽,2,5.44,5.21,-0.23000000000000043,0.23000000000000043,4.227941176470596
孔雀竹芋,叶长,3,9.68,11.21,1.5300000000000011,1.5300000000000011,15.805785123966952
孔雀竹芋,叶宽,3,6.28,7.81,1.5299999999999994,1.5299999999999994,24.363057324840753
豆苗绿,株高,1,13.0,13.61,0.6099999999999994,0.6099999999999994,4.692307692307688
豆苗绿,冠幅,1,15.6,16.84,1.2400000000000002,1.2400000000000002,7.94871794871795
豆苗绿,叶长,1,6.88,7.69,0.8100000000000005,0.8100000000000005,11.773255813953496
豆苗绿,叶宽,1,5.37,5.78,0.41000000000000014,0.41000000000000014,7.635009310986968
豆苗绿,叶长,2,6.15,6.31,0.15999999999999925,0.15999999999999925,2.6016260162601506
豆苗绿,叶宽,2,5.15,5.43,0.27999999999999936,0.27999999999999936,5.436893203883483
豆苗绿,叶长,3,6.93,7.26,0.33000000000000007,0.33000000000000007,4.761904761904763
豆苗绿,叶宽,3,5.68,5.81,0.1299999999999999,0.1299999999999999,2.2887323943661957
豆苗绿,株高,1,11.8,12.45,0.6499999999999986,0.6499999999999986,5.5084745762711735
豆苗绿,冠幅,1,15.1,15.04,-0.0600000000000005,0.0600000000000005,0.39735099337748675
豆苗绿,叶长,1,6.19,6.28,0.08999999999999986,0.08999999999999986,1.4539579967689797
豆苗绿,叶宽,1,5.17,5.04,-0.1299999999999999,0.1299999999999999,2.5145067698259167
豆苗绿,叶长,2,6.68,6.91,0.23000000000000043,0.23000000000000043,3.443113772455096
豆苗绿,叶宽,2,5.95,6.45,0.5,0.5,8.403361344537814
豆苗绿,叶长,3,4.24,5.24,1.0,1.0,23.584905660377355
豆苗绿,叶宽,3,4.22,4.91,0.6900000000000004,0.6900000000000004,16.350710900473945
豆苗绿,株高,1,13.5,14.2,0.6999999999999993,0.6999999999999993,5.18518518518518
豆苗绿,冠幅,1,17.4,18.78,1.3800000000000026,1.3800000000000026,7.931034482758637
豆苗绿,叶长,1,6.24,6.44,0.20000000000000018,0.20000000000000018,3.2051282051282075
豆苗绿,叶宽,1,4.57,5.03,0.45999999999999996,0.45999999999999996,10.065645514223194
豆苗绿,叶长,2,5.58,6.24,0.6600000000000001,0.6600000000000001,11.827956989247314
豆苗绿,叶宽,2,4.58,4.51,-0.07000000000000028,0.07000000000000028,1.5283842794759888
豆苗绿,叶长,3,4.47,4.74,0.27000000000000046,0.27000000000000046,6.040268456375849
豆苗绿,叶宽,3,4.03,4.11,0.08000000000000007,0.08000000000000007,1.985111662531019
仙客来,株高,1,12.3,13.42,1.1199999999999992,1.1199999999999992,9.105691056910564
仙客来,冠幅,1,22.4,22.87,0.4700000000000024,0.4700000000000024,2.0982142857142967
仙客来,叶长,1,5.15,5.92,0.7699999999999996,0.7699999999999996,14.951456310679603
仙客来,叶宽,1,5.11,5.43,0.3199999999999994,0.3199999999999994,6.262230919765154
仙客来,叶长,2,5.28,5.76,0.47999999999999954,0.47999999999999954,9.090909090909081
仙客来,叶宽,2,5.09,5.52,0.4299999999999997,0.4299999999999997,8.447937131630642
仙客来,叶长,3,4.68,5.22,0.54,0.54,11.53846153846154
仙客来,叶宽,3,5.3,5.41,0.11000000000000032,0.11000000000000032,2.0754716981132137
仙客来,株高,1,11.9,12.6,0.6999999999999993,0.6999999999999993,5.882352941176464
仙客来,冠幅,1,18.8,19.3,0.5,0.5,2.6595744680851063
仙客来,叶长,1,4.72,4.97,0.25,0.25,5.296610169491526
仙客来,叶宽,1,4.39,4.56,0.16999999999999993,0.16999999999999993,3.8724373576309783
仙客来,叶长,2,5.23,5.47,0.23999999999999932,0.23999999999999932,4.588910133843199
仙客来,叶宽,2,5.21,5.61,0.40000000000000036,0.40000000000000036,7.677543186180428
仙客来,叶长,3,5.62,5.71,0.08999999999999986,0.08999999999999986,1.6014234875444813
仙客来,叶宽,3,4.72,4.63,-0.08999999999999986,0.08999999999999986,1.906779661016946
仙客来,株高,1,9.8,10.6,0.7999999999999989,0.7999999999999989,8.163265306122437
仙客来,冠幅,1,22.8,21.2,-1.6000000000000014,1.6000000000000014,7.0175438596491295
仙客来,叶长,1,5.03,4.39,-0.6400000000000006,0.6400000000000006,12.72365805168987
仙客来,叶宽,1,4.3,4.42,0.1200000000000001,0.1200000000000001,2.7906976744186074
仙客来,叶长,2,4.39,4.83,0.4400000000000004,0.4400000000000004,10.022779043280192
仙客来,叶宽,2,5.5,5.66,0.16000000000000014,0.16000000000000014,2.9090909090909114
仙客来,叶长,3,4.25,4.44,0.1900000000000004,0.1900000000000004,4.470588235294127
仙客来,叶宽,3,5.02,5.07,0.05000000000000071,0.05000000000000071,0.9960159362549943
网纹草,株高,1,3.6,3.89,0.29000000000000004,0.29000000000000004,8.055555555555555
网纹草,冠幅,1,10.4,10.6,0.1999999999999993,0.1999999999999993,1.9230769230769162
网纹草,叶长,1,2.85,3.01,0.1599999999999997,0.1599999999999997,5.614035087719287
网纹草,叶宽,1,0.86,0.84,-0.020000000000000018,0.020000000000000018,2.325581395348839
网纹草,叶长,2,1.77,1.84,0.07000000000000006,0.07000000000000006,3.9548022598870096
网纹草,叶宽,2,0.7,0.58,-0.12,0.12,17.142857142857142
网纹草,叶长,3,1.94,2.07,0.1299999999999999,0.1299999999999999,6.7010309278350455
网纹草,叶宽,3,0.63,0.6,-0.030000000000000027,0.030000000000000027,4.761904761904765
网纹草,株高,1,2.4,2.64,0.2400000000000002,0.2400000000000002,10.000000000000009
网纹草,冠幅,1,8.5,9.31,0.8100000000000005,0.8100000000000005,9.529411764705888
网纹草,叶长,1,2.71,2.91,0.20000000000000018,0.20000000000000018,7.380073800738014
网纹草,叶宽,1,1.16,0.84,-0.31999999999999995,0.31999999999999995,27.586206896551722
网纹草,叶长,2,1.77,1.94,0.16999999999999993,0.16999999999999993,9.604519774011296
网纹草,叶宽,2,0.94,1.07,0.13000000000000012,0.13000000000000012,13.829787234042568
网纹草,叶长,3,1.73,1.97,0.24,0.24,13.872832369942195
网纹草,叶宽,3,1.02,1.15,0.1299999999999999,0.1299999999999999,12.745098039215675
长寿花,株高,1,13.8,14.87,1.0699999999999985,1.0699999999999985,7.753623188405786
长寿花,冠幅,1,25.7,27.23,1.5300000000000011,1.5300000000000011,5.953307392996114
长寿花,叶长,1,5.27,5.81,0.54,0.54,10.246679316888047
长寿花,叶宽,1,3.74,4.15,0.41000000000000014,0.41000000000000014,10.96256684491979
长寿花,叶长,2,4.86,5.07,0.20999999999999996,0.20999999999999996,4.320987654320986
长寿花,叶宽,2,3.2,3.56,0.3599999999999999,0.3599999999999999,11.249999999999996
长寿花,叶长,3,4.97,5.78,0.8100000000000005,0.8100000000000005,16.29778672032194
长寿花,叶宽,3,2.76,2.75,-0.009999999999999787,0.009999999999999787,0.36231884057970243
长寿花,株高,1,13.6,13.95,0.34999999999999964,0.34999999999999964,2.5735294117647034
长寿花,冠幅,1,22.5,23.4,0.8999999999999986,0.8999999999999986,3.999999999999994
长寿花,叶长,1,9.0,9.65,0.6500000000000004,0.6500000000000004,7.222222222222226
长寿花,叶宽,1,5.47,6.52,1.0499999999999998,1.0499999999999998,19.19561243144424
长寿花,叶长,2,6.2,6.75,0.5499999999999998,0.5499999999999998,8.87096774193548
长寿花,叶宽,2,4.7,5.12,0.41999999999999993,0.41999999999999993,8.936170212765955
长寿花,叶长,3,6.46,7.12,0.6600000000000001,0.6600000000000001,10.216718266253872
长寿花,叶宽,3,4.21,5.12,0.9100000000000001,0.9100000000000001,21.615201900237533
长寿花,株高,1,11.6,10.25,-1.3499999999999996,1.3499999999999996,11.637931034482756
长寿花,冠幅,1,19.9,20.58,0.6799999999999997,0.6799999999999997,3.417085427135677
长寿花,叶长,1,6.84,7.52,0.6799999999999997,0.6799999999999997,9.941520467836254
长寿花,叶宽,1,3.8,3.57,-0.22999999999999998,0.22999999999999998,6.052631578947368
长寿花,叶长,2,6.68,6.04,-0.6399999999999997,0.6399999999999997,9.580838323353289
长寿花,叶宽,2,4.57,6.23,1.6600000000000001,1.6600000000000001,36.32385120350109
长寿花,叶长,3,5.23,5.36,0.1299999999999999,0.1299999999999999,2.485659655831738
长寿花,叶宽,3,3.76,3.78,0.020000000000000018,0.020000000000000018,0.5319148936170218
草莓,株高,1,6.4,6.87,0.46999999999999975,0.46999999999999975,7.3437499999999964
草莓,冠幅,1,10.2,10.8,0.6000000000000014,0.6000000000000014,5.882352941176485
草莓,叶长,1,3.96,4.06,0.09999999999999964,0.09999999999999964,2.525252525252516
草莓,叶宽,1,3.25,3.47,0.2200000000000002,0.2200000000000002,6.7692307692307745
草莓,叶长,2,2.51,2.61,0.10000000000000009,0.10000000000000009,3.9840637450199243
草莓,叶宽,2,2.62,3.07,0.44999999999999973,0.44999999999999973,17.17557251908396
草莓,叶长,3,2.23,2.41,0.18000000000000016,0.18000000000000016,8.071748878923774
草莓,叶宽,3,2.06,2.37,0.31000000000000005,0.31000000000000005,15.04854368932039
草莓,株高,1,3.9,4.17,0.27,0.27,6.923076923076923
草莓,冠幅,1,10.4,11.8,1.4000000000000004,1.4000000000000004,13.461538461538463
草莓,叶长,1,2.49,2.78,0.2899999999999996,0.2899999999999996,11.64658634538151
草莓,叶宽,1,2.32,2.41,0.0900000000000003,0.0900000000000003,3.8793103448275996
草莓,叶长,2,2.48,2.64,0.16000000000000014,0.16000000000000014,6.451612903225811
草莓,叶宽,2,2.16,2.18,0.020000000000000018,0.020000000000000018,0.9259259259259267
草莓,叶长,3,2.59,2.81,0.2200000000000002,0.2200000000000002,8.494208494208502
草莓,叶宽,3,2.3,2.38,0.08000000000000007,0.08000000000000007,3.478260869565221
