challenge_id,split,sample,sequence,frame,image_path,difficulty_rank,difficulty_score,primary_difficulty,secondary_difficulty,selection_reason,is_gt_target,context_start,context_end,gt_status
HARD-DouBanLv2-0030,DEV,DouBanLv2,DouBanLv2,0030,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/DouBanLv2/0030.jpg,,,D1_neighbor_plant_adhesion,D11_cluttered_background,user_manual_selection (multi-plant visible in background),yes,0025,0035,pending
HARD-DouBanLv2-0031,DEV,DouBanLv2,DouBanLv2,0031,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/DouBanLv2/0031.jpg,,,D1_neighbor_plant_adhesion,D11_cluttered_background,user_manual_selection (multi-plant visible in background),yes,0026,0036,pending
HARD-DouBanLv2-0032,DEV,DouBanLv2,DouBanLv2,0032,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/DouBanLv2/0032.jpg,,,D1_neighbor_plant_adhesion,D11_cluttered_background,user_manual_selection (multi-plant visible in background),yes,0027,0037,pending
HARD-DouBanLv2-0033,DEV,DouBanLv2,DouBanLv2,0033,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/DouBanLv2/0033.jpg,,,D1_neighbor_plant_adhesion,D11_cluttered_background,user_manual_selection (multi-plant visible in background),yes,0028,0038,pending
HARD-DouBanLv2-0034,DEV,DouBanLv2,DouBanLv2,0034,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/DouBanLv2/0034.jpg,,,D1_neighbor_plant_adhesion,D11_cluttered_background,user_manual_selection (multi-plant visible in background),yes,0029,0039,pending
HARD-DouBanLv2-0035,DEV,DouBanLv2,DouBanLv2,0035,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/DouBanLv2/0035.jpg,,,D1_neighbor_plant_adhesion,D11_cluttered_background,user_manual_selection (multi-plant visible in background),yes,0030,0040,pending
HARD-DouBanLv2-0036,DEV,DouBanLv2,DouBanLv2,0036,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/DouBanLv2/0036.jpg,,,D1_neighbor_plant_adhesion,D11_cluttered_background,user_manual_selection (multi-plant visible in background),yes,0031,0041,pending
HARD-DouBanLv2-0037,DEV,DouBanLv2,DouBanLv2,0037,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/DouBanLv2/0037.jpg,,,D1_neighbor_plant_adhesion,D11_cluttered_background,user_manual_selection (multi-plant visible in background),yes,0032,0042,annotated
HARD-DouBanLv2-0038,DEV,DouBanLv2,DouBanLv2,0038,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/DouBanLv2/0038.jpg,,,D1_neighbor_plant_adhesion,D11_cluttered_background,user_manual_selection (multi-plant visible in background),yes,0033,0043,annotated
HARD-DouBanLv2-0039,DEV,DouBanLv2,DouBanLv2,0039,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/DouBanLv2/0039.jpg,,,D1_neighbor_plant_adhesion,D11_cluttered_background,user_manual_selection (multi-plant visible in background),yes,0034,0044,annotated
HARD-DouBanLv2-0040,DEV,DouBanLv2,DouBanLv2,0040,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/DouBanLv2/0040.jpg,,,D1_neighbor_plant_adhesion,D11_cluttered_background,user_manual_selection (multi-plant visible in background),yes,0035,0045,annotated
HARD-DouBanLv2-0041,DEV,DouBanLv2,DouBanLv2,0041,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/DouBanLv2/0041.jpg,,,D1_neighbor_plant_adhesion,D11_cluttered_background,user_manual_selection (multi-plant visible in background),yes,0036,0046,annotated
HARD-CaoMei2-0007,TEST,CaoMei2,CaoMei2,0007,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/CaoMei2/0007.jpg,,291.0,D1_neighbor_plant_adhesion,D11_cluttered_background,highest multi-plant density (green% x peaks),yes,0002,0012,pending
HARD-CaoMei2-0008,TEST,CaoMei2,CaoMei2,0008,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/CaoMei2/0008.jpg,,320.0,D1_neighbor_plant_adhesion,D11_cluttered_background,highest multi-plant density (green% x peaks),yes,0003,0013,pending
HARD-CaoMei2-0009,TEST,CaoMei2,CaoMei2,0009,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/CaoMei2/0009.jpg,,281.8,D1_neighbor_plant_adhesion,D11_cluttered_background,highest multi-plant density (green% x peaks),yes,0004,0014,pending
HARD-CaoMei2-0146,TEST,CaoMei2,CaoMei2,0146,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/CaoMei2/0146.jpg,,310.4,D1_neighbor_plant_adhesion,D11_cluttered_background,highest multi-plant density (green% x peaks),yes,0141,0151,pending
HARD-ChangShouHua3-0189,TEST,ChangShouHua3,ChangShouHua3,0189,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/ChangShouHua3/0189.jpg,,651.8,D1_neighbor_plant_adhesion,D11_cluttered_background,highest multi-plant density (green% x peaks),yes,0184,0194,pending
HARD-ChangShouHua3-0190,TEST,ChangShouHua3,ChangShouHua3,0190,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/ChangShouHua3/0190.jpg,,613.2,D1_neighbor_plant_adhesion,D11_cluttered_background,highest multi-plant density (green% x peaks),yes,0185,0195,pending
HARD-ChangShouHua3-0191,TEST,ChangShouHua3,ChangShouHua3,0191,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/ChangShouHua3/0191.jpg,,586.6,D1_neighbor_plant_adhesion,D11_cluttered_background,highest multi-plant density (green% x peaks),yes,0186,0196,pending
HARD-ChangShouHua3-0200,TEST,ChangShouHua3,ChangShouHua3,0200,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/ChangShouHua3/0200.jpg,,611.0,D1_neighbor_plant_adhesion,D11_cluttered_background,highest multi-plant density (green% x peaks),yes,0195,0205,pending
HARD-DouBanLv3-0211,TEST,DouBanLv3,DouBanLv3,0211,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/DouBanLv3/0211.jpg,,427.3,D1_neighbor_plant_adhesion,D11_cluttered_background,highest multi-plant density (green% x peaks),yes,0206,0216,pending
HARD-DouBanLv3-0220,TEST,DouBanLv3,DouBanLv3,0220,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/DouBanLv3/0220.jpg,,456.4,D1_neighbor_plant_adhesion,D11_cluttered_background,highest multi-plant density (green% x peaks),yes,0215,0225,pending
HARD-DouBanLv3-0221,TEST,DouBanLv3,DouBanLv3,0221,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/DouBanLv3/0221.jpg,,536.6,D1_neighbor_plant_adhesion,D11_cluttered_background,highest multi-plant density (green% x peaks),yes,0216,0226,pending
HARD-DouBanLv3-0222,TEST,DouBanLv3,DouBanLv3,0222,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/DouBanLv3/0222.jpg,,396.3,D1_neighbor_plant_adhesion,D11_cluttered_background,highest multi-plant density (green% x peaks),yes,0217,0227,pending
HARD-HongZhang-0134,TEST,HongZhang,HongZhang,0134,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/HongZhang/0134.jpg,,539.0,D1_neighbor_plant_adhesion,D11_cluttered_background,highest multi-plant density (green% x peaks),yes,0129,0139,pending
HARD-HongZhang-0200,TEST,HongZhang,HongZhang,0200,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/HongZhang/0200.jpg,,621.1,D1_neighbor_plant_adhesion,D11_cluttered_background,highest multi-plant density (green% x peaks),yes,0195,0205,pending
HARD-HongZhang-0202,TEST,HongZhang,HongZhang,0202,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/HongZhang/0202.jpg,,533.9,D1_neighbor_plant_adhesion,D11_cluttered_background,highest multi-plant density (green% x peaks),yes,0197,0207,pending
HARD-HongZhang-0229,TEST,HongZhang,HongZhang,0229,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/HongZhang/0229.jpg,,524.9,D1_neighbor_plant_adhesion,D11_cluttered_background,highest multi-plant density (green% x peaks),yes,0224,0234,pending
HARD-WanNianQing1-0223,TEST,WanNianQing1,WanNianQing1,0223,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/WanNianQing1/0223.jpg,,762.0,D1_neighbor_plant_adhesion,D11_cluttered_background,highest multi-plant density (green% x peaks),yes,0218,0228,pending
HARD-WanNianQing1-0224,TEST,WanNianQing1,WanNianQing1,0224,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/WanNianQing1/0224.jpg,,839.8,D1_neighbor_plant_adhesion,D11_cluttered_background,highest multi-plant density (green% x peaks),yes,0219,0229,pending
HARD-WanNianQing1-0225,TEST,WanNianQing1,WanNianQing1,0225,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/WanNianQing1/0225.jpg,,1035.3,D1_neighbor_plant_adhesion,D11_cluttered_background,highest multi-plant density (green% x peaks),yes,0220,0230,pending
HARD-WanNianQing1-0227,TEST,WanNianQing1,WanNianQing1,0227,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/WanNianQing1/0227.jpg,,789.3,D1_neighbor_plant_adhesion,D11_cluttered_background,highest multi-plant density (green% x peaks),yes,0222,0232,pending
HARD-WangWenCao2-0014,TEST,WangWenCao2,WangWenCao2,0014,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/WangWenCao2/0014.jpg,,348.9,D1_neighbor_plant_adhesion,D11_cluttered_background,highest multi-plant density (green% x peaks),yes,0009,0019,pending
HARD-WangWenCao2-0015,TEST,WangWenCao2,WangWenCao2,0015,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/WangWenCao2/0015.jpg,,381.5,D1_neighbor_plant_adhesion,D11_cluttered_background,highest multi-plant density (green% x peaks),yes,0010,0020,pending
HARD-WangWenCao2-0016,TEST,WangWenCao2,WangWenCao2,0016,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/WangWenCao2/0016.jpg,,370.1,D1_neighbor_plant_adhesion,D11_cluttered_background,highest multi-plant density (green% x peaks),yes,0011,0021,pending
HARD-WangWenCao2-0017,TEST,WangWenCao2,WangWenCao2,0017,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/WangWenCao2/0017.jpg,,314.1,D1_neighbor_plant_adhesion,D11_cluttered_background,highest multi-plant density (green% x peaks),yes,0012,0022,pending
HARD-XianKeLai3-0117,TEST,XianKeLai3,XianKeLai3,0117,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/XianKeLai3/0117.jpg,,313.5,D11_cluttered_background,D14_other,highest multi-plant density (green% x peaks),yes,0112,0122,pending
HARD-XianKeLai3-0133,TEST,XianKeLai3,XianKeLai3,0133,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/XianKeLai3/0133.jpg,,332.4,D1_neighbor_plant_adhesion,D11_cluttered_background,highest multi-plant density (green% x peaks),yes,0128,0138,pending
HARD-XianKeLai3-0141,TEST,XianKeLai3,XianKeLai3,0141,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/XianKeLai3/0141.jpg,,328.5,D1_neighbor_plant_adhesion,D11_cluttered_background,highest multi-plant density (green% x peaks),yes,0136,0146,pending
HARD-XianKeLai3-0204,TEST,XianKeLai3,XianKeLai3,0204,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/XianKeLai3/0204.jpg,,352.0,D1_neighbor_plant_adhesion,D11_cluttered_background,highest multi-plant density (green% x peaks),yes,0199,0209,pending
HARD-XiangPiShu2-0133,TEST,XiangPiShu2,XiangPiShu2,0133,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/XiangPiShu2/0133.jpg,,200.9,D11_cluttered_background,D14_other,highest multi-plant density (green% x peaks),yes,0128,0138,pending
HARD-XiangPiShu2-0134,TEST,XiangPiShu2,XiangPiShu2,0134,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/XiangPiShu2/0134.jpg,,192.6,D11_cluttered_background,D14_other,highest multi-plant density (green% x peaks),yes,0129,0139,pending
HARD-XiangPiShu2-0135,TEST,XiangPiShu2,XiangPiShu2,0135,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/XiangPiShu2/0135.jpg,,171.5,D11_cluttered_background,D14_other,highest multi-plant density (green% x peaks),yes,0130,0140,pending
HARD-XiangPiShu2-0136,TEST,XiangPiShu2,XiangPiShu2,0136,/data/fj/F2DMAS/00-论文优化重构/数据管理/01-输入图像/01-raw_frames/XiangPiShu2/0136.jpg,,161.5,D11_cluttered_background,D14_other,highest multi-plant density (green% x peaks),yes,0131,0141,pending
