sample,frame,image,mask,prompt_source,box_xyxy,score,foreground_ratio
ChangShouHua2,0000,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/ChangShouHua2_0000.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/SAM2_oracle_box/mask_ChangShouHua2_0000.png,manual_gt_bbox_oracle,0.0 0.0 2159.0 3262.0,0.953125,0.3423755787037037
ChangShouHua2,0025,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/ChangShouHua2_0025.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/SAM2_oracle_box/mask_ChangShouHua2_0025.png,manual_gt_bbox_oracle,0.0 221.0 1952.0 2424.0,0.9609375,0.2172976948302469
ChangShouHua2,0050,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/ChangShouHua2_0050.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/SAM2_oracle_box/mask_ChangShouHua2_0050.png,manual_gt_bbox_oracle,48.0 264.0 1853.0 2250.0,0.9765625,0.19155201099537036
ChangShouHua2,0075,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/ChangShouHua2_0075.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/SAM2_oracle_box/mask_ChangShouHua2_0075.png,manual_gt_bbox_oracle,272.0 0.0 1902.0 2342.0,0.96875,0.19591206114969137
ChangShouHua2,0100,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/ChangShouHua2_0100.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/SAM2_oracle_box/mask_ChangShouHua2_0100.png,manual_gt_bbox_oracle,0.0 105.0 2159.0 3113.0,0.66796875,0.10852068865740741
CaoMei1,0000,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/CaoMei1_0000.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/SAM2_oracle_box/mask_CaoMei1_0000.png,manual_gt_bbox_oracle,591.0 444.0 1706.0 2890.0,0.96484375,0.1280401234567901
CaoMei1,0025,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/CaoMei1_0025.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/SAM2_oracle_box/mask_CaoMei1_0025.png,manual_gt_bbox_oracle,0.0 688.0 1841.0 2693.0,0.94140625,0.12747202932098767
CaoMei1,0050,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/CaoMei1_0050.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/SAM2_oracle_box/mask_CaoMei1_0050.png,manual_gt_bbox_oracle,711.0 1112.0 1770.0 2568.0,0.98046875,0.07956247588734568
CaoMei1,0075,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/CaoMei1_0075.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/SAM2_oracle_box/mask_CaoMei1_0075.png,manual_gt_bbox_oracle,85.0 810.0 1942.0 2292.0,0.96875,0.09484652295524691
CaoMei1,0100,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/CaoMei1_0100.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/SAM2_oracle_box/mask_CaoMei1_0100.png,manual_gt_bbox_oracle,202.0 0.0 1329.0 2083.0,0.9453125,0.11705017843364197
