sample,frame,image,gt_mask,source_image,gt_json,width,height,gt_area_ratio,num_shapes,target_definition
ChangShouHua2,0000,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/ChangShouHua2_0000.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_ChangShouHua2_0000.png,/data/fj/F2DMAS/03-GT/ChangShouHua2/0000.jpg,/data/fj/F2DMAS/03-GT/ChangShouHua2/0000.json,2160,3840,0.35334526909722225,2,project LabelMe GT foreground: union of closed target-object linestrips
ChangShouHua2,0025,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/ChangShouHua2_0025.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_ChangShouHua2_0025.png,/data/fj/F2DMAS/03-GT/ChangShouHua2/0025.jpg,/data/fj/F2DMAS/03-GT/ChangShouHua2/0025.json,2160,3840,0.23961950231481483,2,project LabelMe GT foreground: union of closed target-object linestrips
ChangShouHua2,0050,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/ChangShouHua2_0050.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_ChangShouHua2_0050.png,/data/fj/F2DMAS/03-GT/ChangShouHua2/0050.jpg,/data/fj/F2DMAS/03-GT/ChangShouHua2/0050.json,2160,3840,0.1967843364197531,1,project LabelMe GT foreground: union of closed target-object linestrips
ChangShouHua2,0075,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/ChangShouHua2_0075.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_ChangShouHua2_0075.png,/data/fj/F2DMAS/03-GT/ChangShouHua2/0075.jpg,/data/fj/F2DMAS/03-GT/ChangShouHua2/0075.json,2160,3840,0.23385175540123457,2,project LabelMe GT foreground: union of closed target-object linestrips
ChangShouHua2,0100,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/ChangShouHua2_0100.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_ChangShouHua2_0100.png,/data/fj/F2DMAS/03-GT/ChangShouHua2/0100.jpg,/data/fj/F2DMAS/03-GT/ChangShouHua2/0100.json,2160,3840,0.3262867717978395,2,project LabelMe GT foreground: union of closed target-object linestrips
CaoMei1,0000,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/CaoMei1_0000.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_CaoMei1_0000.png,/data/fj/F2DMAS/03-GT/CaoMei1/0000.jpg,/data/fj/F2DMAS/03-GT/CaoMei1/0000.json,2160,3840,0.14755015432098764,2,project LabelMe GT foreground: union of closed target-object linestrips
CaoMei1,0025,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/CaoMei1_0025.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_CaoMei1_0025.png,/data/fj/F2DMAS/03-GT/CaoMei1/0025.jpg,/data/fj/F2DMAS/03-GT/CaoMei1/0025.json,2160,3840,0.1426784336419753,2,project LabelMe GT foreground: union of closed target-object linestrips
CaoMei1,0050,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/CaoMei1_0050.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_CaoMei1_0050.png,/data/fj/F2DMAS/03-GT/CaoMei1/0050.jpg,/data/fj/F2DMAS/03-GT/CaoMei1/0050.json,2160,3840,0.08416919849537037,1,project LabelMe GT foreground: union of closed target-object linestrips
CaoMei1,0075,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/CaoMei1_0075.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_CaoMei1_0075.png,/data/fj/F2DMAS/03-GT/CaoMei1/0075.jpg,/data/fj/F2DMAS/03-GT/CaoMei1/0075.json,2160,3840,0.10113365644290123,2,project LabelMe GT foreground: union of closed target-object linestrips
CaoMei1,0100,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/selected_frames/CaoMei1_0100.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/gt_masks/mask_CaoMei1_0100.png,/data/fj/F2DMAS/03-GT/CaoMei1/0100.jpg,/data/fj/F2DMAS/03-GT/CaoMei1/0100.json,2160,3840,0.12884753568672838,2,project LabelMe GT foreground: union of closed target-object linestrips
