method,sample,frame,source_mask,imported_mask,status
SAM_existing,ChangShouHua2,0025,/data/fj/F2DMAS/03-SAM/ChangShouHua2/mask_0025.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/SAM_existing/mask_ChangShouHua2_0025.png,ok
SEEM_existing,ChangShouHua2,0025,/data/fj/F2DMAS/03-SEEM/ChangShouHua2/0025.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/SEEM_existing/mask_ChangShouHua2_0025.png,ok
SAM_existing,ChangShouHua2,0050,/data/fj/F2DMAS/03-SAM/ChangShouHua2/mask_0050.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/SAM_existing/mask_ChangShouHua2_0050.png,ok
SEEM_existing,ChangShouHua2,0050,/data/fj/F2DMAS/03-SEEM/ChangShouHua2/0050.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/SEEM_existing/mask_ChangShouHua2_0050.png,ok
SAM_existing,ChangShouHua2,0075,/data/fj/F2DMAS/03-SAM/ChangShouHua2/mask_0075.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/SAM_existing/mask_ChangShouHua2_0075.png,ok
SEEM_existing,ChangShouHua2,0075,/data/fj/F2DMAS/03-SEEM/ChangShouHua2/0075.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/SEEM_existing/mask_ChangShouHua2_0075.png,ok
SAM_existing,ChangShouHua2,0100,/data/fj/F2DMAS/03-SAM/ChangShouHua2/mask_0100.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/SAM_existing/mask_ChangShouHua2_0100.png,ok
SEEM_existing,ChangShouHua2,0100,/data/fj/F2DMAS/03-SEEM/ChangShouHua2/0100.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/SEEM_existing/mask_ChangShouHua2_0100.png,ok
SAM_existing,CaoMei1,0000,/data/fj/F2DMAS/03-SAM/CaoMei1/mask_0000.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/SAM_existing/mask_CaoMei1_0000.png,ok
SEEM_existing,CaoMei1,0000,/data/fj/F2DMAS/03-SEEM/CaoMei1/0000.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/SEEM_existing/mask_CaoMei1_0000.png,ok
SAM_existing,CaoMei1,0025,/data/fj/F2DMAS/03-SAM/CaoMei1/mask_0025.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/SAM_existing/mask_CaoMei1_0025.png,ok
SEEM_existing,CaoMei1,0025,/data/fj/F2DMAS/03-SEEM/CaoMei1/0025.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/SEEM_existing/mask_CaoMei1_0025.png,ok
SAM_existing,CaoMei1,0050,/data/fj/F2DMAS/03-SAM/CaoMei1/mask_0050.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/SAM_existing/mask_CaoMei1_0050.png,ok
SEEM_existing,CaoMei1,0050,/data/fj/F2DMAS/03-SEEM/CaoMei1/0050.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/SEEM_existing/mask_CaoMei1_0050.png,ok
SAM_existing,CaoMei1,0075,/data/fj/F2DMAS/03-SAM/CaoMei1/mask_0075.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/SAM_existing/mask_CaoMei1_0075.png,ok
SEEM_existing,CaoMei1,0075,/data/fj/F2DMAS/03-SEEM/CaoMei1/0075.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/SEEM_existing/mask_CaoMei1_0075.png,ok
SAM_existing,CaoMei1,0100,/data/fj/F2DMAS/03-SAM/CaoMei1/mask_0100.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/SAM_existing/mask_CaoMei1_0100.png,ok
SEEM_existing,CaoMei1,0100,/data/fj/F2DMAS/03-SEEM/CaoMei1/0100.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/SEEM_existing/mask_CaoMei1_0100.png,ok
